contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
AAPL211119P00148000,2021-11-08 20:54:50,148.0,1.17,1.14,1.18,0.03999996,3.5398197,1957,13642,0.21167780517578122,False,REGULAR,USD
AAPL211119P00149000,2021-11-08 20:57:52,149.0,1.51,1.5,1.53,0.08000004,5.594409,2120,14999,0.20972469970703123,False,REGULAR,USD
AAPL211119P00150000,2021-11-08 20:56:26,150.0,1.95,1.94,1.97,0.1500001,8.333339,4164,33090,0.2098467687988281,False,REGULAR,USD
AAPL211119P00152500,2021-11-08 20:58:22,152.5,3.42,3.35,3.45,0.33000016,10.679618,1014,4179,0.21680470703125,True,REGULAR,USD
AAPL211119P00155000,2021-11-08 20:59:04,155.0,5.3,5.2,5.35,0.53999996,11.344537,371,32445,0.22852333984375,True,REGULAR,USD
AAPL211119P00157500,2021-11-08 20:48:50,157.5,7.45,7.35,7.5,0.5999999,8.759123,20,2178,0.24024197265624997,True,REGULAR,USD
AAPL211119P00160000,2021-11-08 20:31:01,160.0,9.62,9.7,9.8,0.5500002,6.063949,167,21692,0.25098405273437496,True,REGULAR,USD
AAPL211119P00162500,2021-11-08 18:32:27,162.5,11.75,12.1,12.2,0.75,6.818182,1,102,0.26563234375,True,REGULAR,USD
AAPL211119P00165000,2021-11-08 16:50:52,165.0,14.55,14.55,14.65,0.05000019,0.3448289,17,1283,0.28321029296874994,True,REGULAR,USD
AAPL211119P00167500,2021-11-08 15:36:37,167.5,16.65,17.0,17.15,0.29999924,1.8348577,30,126,0.32031929687499994,True,REGULAR,USD
AAPL211119P00170000,2021-11-08 16:14:39,170.0,19.55,19.5,19.65,1.1499996,6.249998,2,903,0.35742830078125,True,REGULAR,USD
AAPL211119P00172500,2021-11-05 14:09:50,172.5,22.05,22.0,22.15,0.8999996,4.2553177,8,4,0.39258419921875,True,REGULAR,USD
AAPL211119P00175000,2021-11-08 16:14:39,175.0,24.4,24.5,24.65,0.52000046,2.1775565,5,937,0.42578699218750005,True,REGULAR,USD
AAPL211119P00180000,2021-11-08 19:54:03,180.0,29.41,29.5,29.65,0.65999985,2.2956517,205,340,0.49219257812500006,True,REGULAR,USD
AAPL211119P00185000,2021-11-05 13:52:23,185.0,33.5,34.5,34.65,0.0,0.0,17,64,0.5546919531250001,True,REGULAR,USD
AAPL211119P00190000,2021-11-05 13:52:27,190.0,38.45,39.5,39.65,0.0,0.0,6,51,0.500005,True,REGULAR,USD
AAPL211119P00195000,2021-11-01 15:22:43,195.0,46.35,44.5,44.6,0.0,0.0,1,0,0.6054726953125001,True,REGULAR,USD
AAPL211119P00200000,2021-11-03 19:40:08,200.0,49.2,49.5,49.6,0.6000023,1.2345726,5,5,0.6562534375000001,True,REGULAR,USD
AAPL211119P00205000,2021-11-05 14:36:01,205.0,53.85,54.5,54.6,0.0,0.0,2,0,0.7070341796875,True,REGULAR,USD
AAPL211119P00210000,2021-11-04 16:50:33,210.0,58.93,59.5,59.6,0.0,0.0,9,20,0.7539087109375,True,REGULAR,USD
AAPL211119P00215000,2021-10-25 19:27:44,215.0,66.64,64.5,64.6,0.0,0.0,140,60,0.8007832421875,True,REGULAR,USD
AAPL211119P00220000,2021-11-04 19:22:48,220.0,68.84,69.5,69.6,0.0,0.0,3,0,0.8476577734374999,True,REGULAR,USD
AAPL211119P00225000,2021-10-20 14:13:34,225.0,75.9,74.5,74.6,0.0,0.0,6,0,0.8906260937499999,True,REGULAR,USD
AAPL211119P00230000,2021-11-03 18:06:56,230.0,79.52,79.5,79.6,0.0,0.0,22,17,0.929688203125,True,REGULAR,USD
AAPL211119P00235000,2021-11-03 18:06:13,235.0,84.38,84.5,84.6,0.0,0.0,7,0,0.9726565234375,True,REGULAR,USD
AAPL211119P00240000,2021-11-03 18:43:13,240.0,89.2,89.5,89.6,0.0,0.0,8,0,1.01172369140625,True,REGULAR,USD
AAPL211119P00245000,2021-11-02 16:15:27,245.0,94.4,94.5,94.6,0.0,0.0,2,0,1.05078599609375,True,REGULAR,USD
AAPL211119P00250000,2021-11-01 19:23:37,250.0,99.13,99.5,99.6,-2.2700043,-2.238663,1,0,1.08984830078125,True,REGULAR,USD
